ticker,model,fold,test_start,test_end,mae,rmse,r2,mae_base,rmse_base
NKE,XGBRegressor,1,2019-05-24,2020-08-20,8.022067331204749,10.162356066233118,-0.5297034236497362,1.3772930704104678,1.98447255257391
NKE,XGBRegressor,2,2020-08-21,2021-11-17,37.0551823415574,40.35463936514692,-5.278900650432789,1.6207639366198496,2.4055624655403682
NKE,XGBRegressor,3,2021-11-18,2023-02-17,3.0923237162790485,4.149357656087765,0.9633767029018622,2.1505410018240565,2.8540543609071864
NKE,XGBRegressor,4,2023-02-21,2024-05-20,1.7067125648449932,2.42316004954662,0.9425429589308463,1.2673252372984674,1.8238978210468189
NKE,XGBRegressor,5,2024-05-21,2025-08-21,3.38147618968016,4.5686503495377915,0.7761033780712494,1.137771071901746,1.926324855850725
NKE,MLPRegressor,1,2019-05-24,2020-08-20,37.12491723305578,47.160401845750634,-31.94377912931136,1.3772930704104678,1.98447255257391
NKE,MLPRegressor,2,2020-08-21,2021-11-17,60.357375021992866,68.48732595016516,-17.08494073161817,1.6207639366198496,2.4055624655403682
NKE,MLPRegressor,3,2021-11-18,2023-02-17,7.58610270666995,10.276244901210989,0.7753716380195941,2.1505410018240565,2.8540543609071864
NKE,MLPRegressor,4,2023-02-21,2024-05-20,6.844795842108827,8.952017839465741,0.21581065988189752,1.2673252372984674,1.8238978210468189
NKE,MLPRegressor,5,2024-05-21,2025-08-21,28.51306804890387,46.22518933096967,-21.920764293332535,1.137771071901746,1.926324855850725
NKE,SVR,1,2019-05-24,2020-08-20,11.433127629385577,14.27299159757219,-2.017508095003544,1.3772930704104678,1.98447255257391
NKE,SVR,2,2020-08-21,2021-11-17,57.239265918394004,60.100750187939845,-12.926964105305135,1.6207639366198496,2.4055624655403682
NKE,SVR,3,2021-11-18,2023-02-17,8.515306623055064,12.09603803317307,0.6887696177532738,2.1505410018240565,2.8540543609071864
NKE,SVR,4,2023-02-21,2024-05-20,2.7865217972389367,3.786224959835586,0.8597212508211758,1.2673252372984674,1.8238978210468189
NKE,SVR,5,2024-05-21,2025-08-21,19.707612496796045,25.117464526883033,-5.767422531556431,1.137771071901746,1.926324855850725
TSLA,XGBRegressor,1,2019-05-24,2020-08-20,19.546900372596305,32.469354226164505,-0.32120986882069347,1.424558223432796,2.542127469152379
TSLA,XGBRegressor,2,2020-08-21,2021-11-17,97.85507520444834,112.96708736791375,-2.8555606120439054,5.976917728496966,8.565386580721874
TSLA,XGBRegressor,3,2021-11-18,2023-02-17,12.280327474995024,15.8297043177407,0.9460573267189517,8.279692825997712,10.994704342891517
TSLA,XGBRegressor,4,2023-02-21,2024-05-20,5.759069406302872,7.667108673200982,0.9564355958162776,5.0079937588637025,6.783016556220099
TSLA,XGBRegressor,5,2024-05-21,2025-08-21,15.051635985161848,23.34120669969398,0.8904328565060716,9.059204004372761,12.444431219085336
TSLA,MLPRegressor,1,2019-05-24,2020-08-20,76.17273991698809,122.00808158888898,-17.655277073130527,1.424558223432796,2.542127469152379
TSLA,MLPRegressor,2,2020-08-21,2021-11-17,39.73281806385504,43.958551612811654,0.4161914905596906,5.976917728496966,8.565386580721874
TSLA,MLPRegressor,3,2021-11-18,2023-02-17,19.433308815014346,24.017200640998027,0.8758257252333979,8.279692825997712,10.994704342891517
TSLA,MLPRegressor,4,2023-02-21,2024-05-20,14.161390687975047,17.189696640829656,0.7810197407188585,5.0079937588637025,6.783016556220099
TSLA,MLPRegressor,5,2024-05-21,2025-08-21,12.68805537406746,16.983453735626185,0.9419922854111189,9.059204004372761,12.444431219085336
TSLA,SVR,1,2019-05-24,2020-08-20,21.77779192624302,34.20464608785455,-0.466205043482822,1.424558223432796,2.542127469152379
TSLA,SVR,2,2020-08-21,2021-11-17,184.85908470960268,193.72879588757988,-10.33892885165706,5.976917728496966,8.565386580721874
TSLA,SVR,3,2021-11-18,2023-02-17,101.90299347182062,119.59914093021449,-2.07923603244659,8.279692825997712,10.994704342891517
TSLA,SVR,4,2023-02-21,2024-05-20,11.022204877425025,15.789664485669675,0.8152372811802274,5.0079937588637025,6.783016556220099
TSLA,SVR,5,2024-05-21,2025-08-21,70.86279376544339,96.80097847293816,-0.8844873421683037,9.059204004372761,12.444431219085336
