ticker,model,fold,test_start,test_end,accuracy,precision_macro,recall_macro,f1_macro
NKE,MLPClassifier,4,2023-02-21,2024-05-20,0.34394904458598724,0.3564377738030433,0.3561664957373398,0.33573973828261233
NKE,MLPClassifier,5,2024-05-21,2025-08-21,0.31528662420382164,0.31740561351217084,0.3417983772328836,0.2779001638884733
NKE,SVC,1,2019-05-24,2020-08-20,0.3662420382165605,0.325547201336675,0.3276995305164319,0.3191778822119943
NKE,SVC,2,2020-08-21,2021-11-17,0.35668789808917195,0.18640776699029127,0.32517555655162106,0.18106424959921077
NKE,SVC,3,2021-11-18,2023-02-17,0.4012738853503185,0.3694125159642401,0.36920185078079815,0.31599757628041203
NKE,SVC,4,2023-02-21,2024-05-20,0.37261146496815284,0.25032163742690056,0.3551021522997924,0.2872303907546198
NKE,SVC,5,2024-05-21,2025-08-21,0.3248407643312102,0.20886112225597522,0.3070284559166537,0.2284708431124752
NKE,GaussianNB,1,2019-05-24,2020-08-20,0.25796178343949044,0.354287556415216,0.3578942792557816,0.18919755637544053
NKE,GaussianNB,2,2020-08-21,2021-11-17,0.3184713375796178,0.38835616438356163,0.3397090316778138,0.19864739500557838
NKE,GaussianNB,3,2021-11-18,2023-02-17,0.3535031847133758,0.3550809197630784,0.3559015059015059,0.3395736355663496
NKE,GaussianNB,4,2023-02-21,2024-05-20,0.34394904458598724,0.36940272896990994,0.35047472536767427,0.31905955783650364
NKE,GaussianNB,5,2024-05-21,2025-08-21,0.34394904458598724,0.343147808714711,0.3366088945368191,0.2503644992815313
TSLA,XGBClassifier,1,2019-05-24,2020-08-20,0.3821656050955414,0.38139933569056045,0.3565459746468387,0.30161657987744944
TSLA,XGBClassifier,2,2020-08-21,2021-11-17,0.40445859872611467,0.3688209528917494,0.31430960814077696,0.2908232118758434
TSLA,XGBClassifier,3,2021-11-18,2023-02-17,0.44904458598726116,0.3956259126510022,0.38344337271355106,0.38583144750991066
TSLA,XGBClassifier,4,2023-02-21,2024-05-20,0.4012738853503185,0.4008650373729739,0.32385783448777544,0.3125099562158492
TSLA,XGBClassifier,5,2024-05-21,2025-08-21,0.42356687898089174,0.28568634026380507,0.32974018794914317,0.30555223499972106
TSLA,MLPClassifier,1,2019-05-24,2020-08-20,0.40764331210191085,0.28503380227518155,0.34271831344658005,0.2927917164476304
TSLA,MLPClassifier,2,2020-08-21,2021-11-17,0.4585987261146497,0.30454006254717997,0.33993342516069786,0.2672880061115355
TSLA,MLPClassifier,3,2021-11-18,2023-02-17,0.46178343949044587,0.30899949723479136,0.35568560077311284,0.32504732059407965
TSLA,MLPClassifier,4,2023-02-21,2024-05-20,0.42038216560509556,0.28333824168735183,0.3297422661130438,0.3039168433905276
TSLA,MLPClassifier,5,2024-05-21,2025-08-21,0.46496815286624205,0.30999455337690635,0.36194951170075546,0.3333411934855059
TSLA,SVC,1,2019-05-24,2020-08-20,0.3503184713375796,0.2703827573392791,0.33554732655420366,0.19594964422550631
TSLA,SVC,2,2020-08-21,2021-11-17,0.4585987261146497,0.15286624203821655,0.3333333333333333,0.20960698689956334
TSLA,SVC,3,2021-11-18,2023-02-17,0.45222929936305734,0.30152547874066865,0.34697018504599303,0.3226440651728008
TSLA,SVC,4,2023-02-21,2024-05-20,0.46496815286624205,0.31259738703104395,0.3649422062619235,0.3281081125007111
TSLA,SVC,5,2024-05-21,2025-08-21,0.46496815286624205,0.3098836340923595,0.3619310853141699,0.33351397626508955
TSLA,GaussianNB,1,2019-05-24,2020-08-20,0.3630573248407643,0.38349376114081996,0.36307896902368775,0.26282737346924095
TSLA,GaussianNB,2,2020-08-21,2021-11-17,0.4585987261146497,0.15286624203821655,0.3333333333333333,0.20960698689956334
TSLA,GaussianNB,3,2021-11-18,2023-02-17,0.42356687898089174,0.5082279751153923,0.32476632454502363,0.21579355388879198
TSLA,GaussianNB,4,2023-02-21,2024-05-20,0.37898089171974525,0.2038433908045977,0.3486908761264864,0.254931244134329
TSLA,GaussianNB,5,2024-05-21,2025-08-21,0.4012738853503185,0.21021897810218979,0.35061728395061725,0.25508413634402416
